batchSize,numWorkers,trainDataDir,testDataDir,dataDtype,trainDataSubset,trainSplit,validationSplit,experimentsFolder,torchSeed,numpySeed,pythonSeed,overfitTraining,modelType,pretrained,pretrained2D,C,modelInputCh,extraInputCh,mainInputTime,modelOutputCh,numBlocks,inputHeightWidth,windowSizeT,windowSizeH,windowSizeW,patchSizeT,patchSizeH,patchSizeW,epochs,trainLossFunction,trainingOptimizer,lr,lrScaleFactor,scheduler,schedulerPatience,gradientClipping,gradientClipValue,valLoss,epoch,folder,patchEmbedding_norm,encoder_layerDepths,encoder_layerNumHeads,encoder_mlpRatio,encoder_qkvBias,encoder_qkScale,encoder_drop,encoder_attnDrop,encoder_dropPath,encoder_norm,encoder_downsample,encoder_useCheckpoint,encoder_patchMerging_norm,bottleneck_depth,bottleneck_numHeads,bottleneck_norm,decoder_layerDepths,decoder_layerNumHeads,decoder_mlpRatio,decoder_qkvBias,decoder_qkScale,decoder_drop,decoder_attnDrop,decoder_dropPath,decoder_norm,decoder_downsample,decoder_useCheckpoint,decoder_patchExpansion_norm,trainLossFunctions,train_maskedL1,train_ssim,train_maskedSSIM,train_FFL,train_SSIM,encoder_normLayer,decoder_normLayer,train_maskedGradient
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,videoSwinUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,300,l1,adam,0.0002,,,,,,0.271325021982193,299,videoSwinUnet_15-07-2024_22-14-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,videoSwinUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,1000,l1,adam,0.0005,,,,,,1.2251657247543335,998,videoSwinUnet_16-07-2024_01-19-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,videoSwinUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,2000,l1,adam,0.0002,,ReduceLROnPlateau,,,,0.03884511720389128,1998,videoSwinUnet_16-07-2024_17-11-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,,,,,videoSwinUnet,,,96,12,5.0,10.0,,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,40,l1,adam,0.0002,,ReduceLROnPlateau,,,,26.550646975636482,15,videoSwinUnet_16-07-2024_19-50-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,,videoSwinUnet,,,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,2000,maskedL1,adam,0.0002,,ReduceLROnPlateau,,,,0.035040068440139294,728,videoSwinUnet_17-07-2024_21-50-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,,videoSwinUnet,,,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,40,maskedL1,adam,0.0002,,ReduceLROnPlateau,10.0,,,4.9819548930972815,13,videoSwinUnet_18-07-2024_16-57-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,,videoSwinUnet,,,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,40,maskedL1,adam,0.0002,,ReduceLROnPlateau,10.0,True,0.5,4.878672119230032,15,videoSwinUnet_21-07-2024_03-54-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,,videoSwinUnet,,,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,40,maskedL1,adam,2e-05,,ReduceLROnPlateau,10.0,True,0.5,4.348714342340827,33,videoSwinUnet_21-07-2024_16-12-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,,videoSwinUnet,,,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,40,maskedL1,adam,0.0001,0.5,ReduceLROnPlateau,10.0,True,0.5,4.423830673098564,21,videoSwinUnet_22-07-2024_17-58-51,None,"[2, 2, 2]","[3, 6, 12]",4.0,False,None,0.0,0.0,0.0,,None,False,,,,,"[2, 2, 2]","[3, 6, 12]",4.0,False,None,0.0,0.0,0.0,,None,False,,,,,,,,nn.LayerNorm,nn.LayerNorm,
24,8,/home/nikoskot/earthnetThesis/EarthnetDataset/train,/home/nikoskot/earthnetThesis/EarthnetDataset/,float32,,0.8,0.2,/home/nikoskot/earthnetThesis/experiments,58.0,58.0,58.0,,videoSwinUnet,/home/nikoskot/earthnetThesis/swin_tiny_patch4_window7_224_22k.pth,True,96,11,5.0,10.0,4.0,3.0,128.0,3.0,7.0,7.0,1.0,4.0,4.0,40,maskedL1,adam,0.0002,0.1,ReduceLROnPlateau,10.0,True,10.0,5.148985739797354,12,videoSwinUnet_23-07-2024_07-21-15,False,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,,2.0,12.0,,"[2, 2, 2]","[3, 6, 12]",4.0,False,,0.0,0.0,0.0,True,,False,,,,,,,,,,
